"Attention","Meditation","Delta","Theta","LowAlpha","HighAlpha","LowBeta","HighBeta","LowGamma","HighGamma","Direction"
"0","0","1211551","158308","40565","60230","86218","15418","7542","2469","Up"
"0","0","872492","138722","17569","22709","39100","11003","6746","7458","Up"
"0","0","1123537","13235","2815","34621","3916","2358","1582","1966","Up"
"0","0","201961","27278","13820","5927","3194","2257","4575","2105","Up"
"0","0","1720236","611640","305380","109463","28307","36923","22301","11363","Up"
"0","0","980335","187123","43538","17147","13104","6245","6014","5336","Up"
"0","0","622169","11216","6821","7281","905","725","3083","914","Up"
"0","0","2084845","1021088","52498","77586","50022","21162","44680","11769","Up"
"0","0","260893","102619","22866","18420","8132","8834","23038","4686","Up"
"0","0","50145","22929","1288","4917","3311","2402","1398","2130","Up"
"0","0","28519","7365","3077","5598","9006","16466","5434","7043","Up"
"0","0","101219","24088","3900","6157","896","2686","756","515","Up"
"0","0","10467","14096","6170","9561","2816","6366","5079","1471","Up"
"0","0","30419","13074","5990","2420","14284","5380","5352","3977","Up"
"0","0","31603","15761","13826","2087","11715","13270","5771","2084","Up"
"0","0","12531","15850","15499","8656","12603","5142","8172","3608","Up"
"0","0","97750","16674","15747","15449","15525","10382","7128","3092","Up"
"0","0","297872","44803","4461","11246","2488","2787","773","1516","Up"
"0","0","44666","12602","4788","17665","5248","4265","8175","1353","Up"
"0","0","4447","27205","22877","7541","3209","8853","4405","1592","Up"
"0","0","14434","28637","8736","9613","21070","8176","4878","2407","Up"
"0","0","8929","18856","14884","2590","7765","6677","7217","2834","Up"
"0","0","40781","13005","9481","88","1662","2329","763","749","Up"
"0","0","9685","16779","24215","4441","21578","13066","4102","1365","Up"
"0","0","13101","11147","9591","7224","8331","8743","10049","3282","Up"
"0","0","19498","33819","14771","4532","3192","6370","6605","835","Up"
"0","0","21107","37719","21916","12542","6805","9816","8576","2978","Up"
"0","0","27966","6085","3449","1399","4198","15761","5806","2127","Up"
"0","0","30927","24657","8177","3735","4367","10810","3679","4213","Up"
"0","0","7343","9856","7725","2123","3511","8739","6673","4992","Up"
"0","0","29037","21285","12859","11833","3127","5833","9929","3036","Up"
"0","0","97309","11885","1603","2170","1438","1982","1483","1470","Up"
"0","0","136190","43078","6036","5518","3891","5264","1990","1090","Up"
"0","0","70813","79092","20959","1228","5361","3700","2172","568","Up"
"0","0","88103","101101","17468","8875","12447","6615","4987","3432","Up"
"0","0","298692","21423","4436","2277","1971","4675","1197","1973","Up"
"0","0","55979","5729","3419","1690","2902","1326","1290","1004","Up"
"0","0","15782","5347","12360","5202","10073","5118","6204","3063","Up"
"0","0","17373","16870","7837","5529","3541","9896","5707","2182","Up"
"0","0","12551","9546","5430","5398","9434","7137","6997","4003","Up"
"0","0","23958","18069","1494","11049","6628","10302","5407","4969","Up"
"0","0","4208","9907","11155","14042","6723","6590","4357","3440","Up"
"0","0","20912","13096","13436","6626","7679","7591","5255","2055","Up"
"0","0","22506","13505","5625","6689","2744","8655","8907","2978","Up"
"0","0","101719","13954","8149","4257","6013","2365","1156","1571","Up"
"0","0","111130","147179","41318","11047","7546","6680","8181","3198","Up"
"0","0","52817","13068","16046","6343","3647","7098","9376","3295","Up"
"0","0","171616","30992","25786","9509","10148","2064","1898","1278","Up"
"0","0","34578","66502","27428","2147","8079","5777","1941","1760","Up"
"0","0","56495","162605","41210","21083","36263","38385","5570","5233","Up"
"0","0","346718","54079","4253","2416","2253","5317","925","711","Up"
